time,cmd_pos,pos,vel,tau,joint_name
1777274185.064283,0.4731551110744476,0.3453405643330721,1.7743461409344763,8.708762168884277,L_hip_pitch
1777274185.0847251,0.4865659773349762,0.3790891715923167,1.5083773308511617,8.368175506591797,L_hip_pitch
1777274185.105827,0.4934899806976318,0.4009490649306892,1.132541886654257,8.609882354736328,L_hip_pitch
1777274185.1277764,0.4931061267852783,0.4262605203751205,0.9315775017548144,6.471144676208496,L_hip_pitch
1777274185.1442688,0.4877277910709381,0.4416007964020486,0.8120975371562855,5.507980823516846,L_hip_pitch
1777274185.1640956,0.4755683839321136,0.450037948216859,0.6738486892300188,4.138309955596924,L_hip_pitch
1777274185.1841495,0.4571327865123749,0.4615431552370579,0.2343821527756584,3.2117679119110107,L_hip_pitch
1777274185.2045937,0.432286649942398,0.4661452380451364,0.1034577471236308,1.1316263675689695,L_hip_pitch
1777274185.224226,0.4030542075634002,0.4661452380451364,-0.0906399731437124,-0.4943998456001282,L_hip_pitch
1777274185.2445889,0.3676524460315704,0.4573245793296527,-0.6711020233771775,-1.728568434715271,L_hip_pitch
1777274185.2643647,0.3288624286651611,0.4477369068128198,-0.7933286538285478,-2.801599264144897,L_hip_pitch
1777274185.2843225,0.285924881696701,0.4155223271562709,-1.4571062349314865,-5.101473808288574,L_hip_pitch
1777274185.304152,0.2401546984910965,0.390977885513186,-1.8860438856166264,-5.160069465637207,L_hip_pitch
1777274185.328163,0.1816096305847168,0.3407384815249936,-2.0563371684926905,-4.918363094329834,L_hip_pitch
1777274185.3450468,0.1390625089406967,0.3077568880670983,-2.290261543626209,-6.687215805053711,L_hip_pitch
1777274185.364083,0.0904040336608886,0.26365359448968,-2.068239387188329,-2.915127992630005,L_hip_pitch
1777274185.3845508,0.0380393899977207,0.2080450938920629,-2.2943815424054685,-5.540940761566162,L_hip_pitch
1777274185.4042158,-0.0115325069054961,0.1792820763415728,-2.166203802606281,-3.3509323596954346,L_hip_pitch
1777274185.4239292,-0.059729266911745,0.135562289664825,-2.290261543626209,-4.193243026733398,L_hip_pitch
1777274185.445176,-0.1091517135500907,0.0692155958483609,-2.574999237037263,-5.910824775695801,L_hip_pitch
1777274185.4640646,-0.1501949727535247,0.0373845230924824,-2.3818170720542016,-4.094363212585449,L_hip_pitch
1777274185.4851005,-0.1919645816087722,-0.0243600879159031,-2.274239326151311,-2.845545768737793,L_hip_pitch
1777274185.503963,-0.2253120839595794,-0.0730654643014025,-2.6052125614185,-3.640247821807861,L_hip_pitch
1777274185.5250506,-0.2573990821838379,-0.1152512233754548,-2.194128238776817,-1.574755072593689,L_hip_pitch
1777274185.5451782,-0.2824142277240753,-0.1631895859596078,-1.7720572527237766,-2.2559282779693604,L_hip_pitch
1777274185.564395,-0.3008075356483459,-0.1984722208215424,-1.7336039307840212,-2.7283546924591064,L_hip_pitch
1777274185.5841756,-0.3138524293899536,-0.2341383625841516,-1.657612842188787,-2.3474836349487305,L_hip_pitch
1777274185.6041644,-0.3207644522190094,-0.2563817628231974,-1.181981872005371,-2.1790215969085693,L_hip_pitch
1777274185.6240096,-0.3212847113609314,-0.2855282872743621,-1.017639698477126,-1.164586305618286,L_hip_pitch
1777274185.644514,-0.3151762187480926,-0.2962664804932118,-0.8629108554338211,-0.9704886078834534,L_hip_pitch
1777274185.6647408,-0.3026317059993744,-0.3135242910235073,-0.4344309823908193,1.164586305618286,L_hip_pitch
1777274185.6841826,-0.2846585810184479,-0.3185098807322589,-0.1116977446821498,1.6223639249801636,L_hip_pitch
1777274185.7053075,-0.2588739097118377,-0.3162088393282197,0.2833643604846325,2.995696783065796,L_hip_pitch
1777274185.7245913,-0.2300246953964233,-0.3150583186262001,0.3108310190130325,3.534043312072754,L_hip_pitch
1777274185.7442892,-0.1957697868347168,-0.3089222082154289,0.287484359263892,3.4205145835876465,L_hip_pitch
1777274185.7645557,-0.1560157835483551,-0.2962664804932118,0.7924130985442679,4.790185451507568,L_hip_pitch
1777274185.7840612,-0.114070326089859,-0.2736395733534928,1.0560930204168828,6.082949161529541,L_hip_pitch
1777274185.8047762,-0.0662260800600051,-0.2444930489023281,1.7331461531418813,4.77553653717041,L_hip_pitch
1777274185.8250003,-0.0170351434499025,-0.2444930489023281,1.7331461531418813,4.77553653717041,L_hip_pitch
1777274185.8445418,0.0320924967527389,-0.1862,2.07510605182043,6.690877914428711,L_hip_pitch
1777274185.865506,0.0856825560331344,-0.127139937296324,2.847376934110537,8.133792877197266,L_hip_pitch
1777274185.884656,0.1346674263477325,-0.0780510540101542,2.5058748130741284,5.493331909179688,L_hip_pitch
1777274185.9057684,0.1878310889005661,-0.0086363049883018,2.593310342722861,8.404797554016113,L_hip_pitch
1777274185.9316528,0.2504818141460418,0.0519577853180641,2.634052552873316,7.895748615264893,L_hip_pitch
1777274185.944095,0.279151976108551,0.0734341717557662,2.355723746452223,6.61397123336792,L_hip_pitch
1777274185.9642255,0.3229686915874481,0.1298096861547269,2.4880214850306706,5.914487361907959,L_hip_pitch
1777274185.9844413,0.3631637096405029,0.181583117745612,2.8006836146122627,7.079073429107666,L_hip_pitch
1777274186.0044675,0.3985844552516937,0.2406431804492851,2.6061281167027794,6.115909099578857,L_hip_pitch
1777274186.0249596,0.4297122657299042,0.284362967126033,2.2701193273720497,6.27338457107544,L_hip_pitch
1777274186.044379,0.4539691507816314,0.3192620950872944,2.224799340800195,5.705740451812744,L_hip_pitch
1777274186.0648775,0.4736363589763641,0.3691179921748134,1.820123905148474,4.998931884765625,L_hip_pitch
1777274186.084092,0.4862489104270935,0.3925119131158787,1.5106662190618614,3.0286569595336914,L_hip_pitch
1777274186.1041777,0.4932054579257965,0.430862603183199,1.1522263252662746,2.4170658588409424,L_hip_pitch
1777274186.1262164,0.4933893382549286,0.4523389896209011,1.0652485732596817,1.497848391532898,L_hip_pitch
1777274186.14411,0.4878002405166626,0.4642277035417703,0.8157597582934051,0.9485152959823608,L_hip_pitch
1777274186.1641445,0.4755312204360962,0.4780339519660056,0.6102175969725632,-0.0183111056685447,L_hip_pitch
1777274186.1848073,0.4564260840415954,0.4868546106814893,0.1501510666219052,-0.2453688234090805,L_hip_pitch
1777274186.2042713,0.4327238500118255,0.4872381175821625,-0.0169377727591779,-0.6115909218788147,L_hip_pitch
1777274186.2246337,0.4023944437503814,0.4814855140720644,-0.5639820551164287,-2.1936705112457275,L_hip_pitch
1777274186.244453,0.3679046332836151,0.4684462794491756,-0.6102175969725632,-3.3509323596954346,L_hip_pitch
1777274186.2640247,0.3295632004737854,0.4554070448262867,-0.934781945249794,-3.3692433834075928,L_hip_pitch
1777274186.284143,0.2863261699676513,0.4297120824811794,-1.5944395275734728,-5.273598670959473,L_hip_pitch
1777274186.305122,0.2378488779067993,0.4136047926529048,-1.7276528214362004,-4.43861198425293,L_hip_pitch
1777274186.325333,0.1886478662490844,0.3556952506512514,-2.1053193762016664,-5.82659387588501,L_hip_pitch
1777274186.344085,0.1415066719055175,0.328082753802778,-1.9858394116031373,-4.035767555236816,L_hip_pitch
1777274186.364481,0.089383840560913,0.2736247739071833,-2.067323831904049,-3.91125226020813,L_hip_pitch
1777274186.3840582,0.0392936952412128,0.2444782494560171,-2.323679311502427,-4.555803298950195,L_hip_pitch
1777274186.403915,-0.0107827624306082,0.1658593348180107,-2.82265694143498,-5.877864837646484,L_hip_pitch
1777274186.4239187,-0.0597047172486782,0.1309602068567465,-2.339243751335185,-3.2520523071289062,L_hip_pitch
1777274186.4447064,-0.1080936342477798,0.0577103888281621,-2.6061281167027794,-3.8050477504730233,L_hip_pitch
1777274186.4641576,-0.1503892391920089,0.0170586573568027,-2.669759208960235,-4.321421146392822,L_hip_pitch
1777274186.4840806,-0.1900461316108703,-0.0381663363401383,-2.410657063509018,-2.633136987686157,L_hip_pitch
1777274186.5055437,-0.2279197126626968,-0.0792015747121738,-2.141941587572864,-0.9558396935462952,L_hip_pitch
1777274186.5253558,-0.2578204572200775,-0.1336595546077685,-2.211066011535997,-2.252265930175781,L_hip_pitch
1777274186.5441682,-0.2812964022159576,-0.1739277791784575,-2.076021607104708,-0.747093141078949,L_hip_pitch
1777274186.564043,-0.3005208373069763,-0.19578767251683,-2.0229194006164746,-0.981475293636322,L_hip_pitch
1777274186.583897,-0.3137111365795135,-0.2441095420016549,-1.7088839381084626,0.4687643051147461,L_hip_pitch
1777274186.6043258,-0.3207943737506866,-0.2820767251683033,-1.529892880031739,1.721243977546692,L_hip_pitch
1777274186.626353,-0.3209275901317596,-0.3058541530100419,-1.038239692373425,2.845545768737793,L_hip_pitch
1777274186.6441982,-0.3153215050697326,-0.3188933876329322,-0.7850886562700271,3.274025678634644,L_hip_pitch
1777274186.664161,-0.3030800521373749,-0.3280975532490889,-0.3762932218390447,3.4754478931427,L_hip_pitch
1777274186.6841154,-0.2847304344177246,-0.3326996360571674,-0.2485732596819967,4.5008697509765625,L_hip_pitch
1777274186.7044194,-0.2600846588611603,-0.3346171705605334,0.2156132694479207,5.273598670959473,L_hip_pitch
1777274186.7245712,-0.2300559729337692,-0.3288645670504354,0.5681020538956882,6.244087219238281,L_hip_pitch
1777274186.7441428,-0.1960414052009582,-0.3162088393282197,0.6797997985778381,6.44184684753418,L_hip_pitch
1777274186.764013,-0.1571487039327621,-0.2993345356985974,0.8143864253669852,7.353740215301514,L_hip_pitch
1777274186.784147,-0.113878034055233,-0.268270476744068,1.4937284463026834,8.818628311157227,L_hip_pitch
1777274186.804927,-0.0658733248710632,-0.2441095420016549,1.461684011352884,6.969206809997559,L_hip_pitch
1777274186.8298514,-0.0049566533416509,-0.2095939209410653,1.673635059663685,7.419660091400146,L_hip_pitch
1777274186.845968,0.0357190035283565,-0.1712432308737451,1.9940794091616565,7.273170948028564,L_hip_pitch
1777274186.8641253,0.0821432992815971,-0.1240718820909384,2.304910428174689,7.456282138824463,L_hip_pitch
1777274186.8842385,0.1336038708686828,-0.0688468883939973,2.059541611987672,8.045899391174316,L_hip_pitch
1777274186.9054103,0.1869422048330307,-0.0262776224192691,2.199621570482498,6.723837852478027,L_hip_pitch
1777274186.9242542,0.2329455465078354,0.0323989333837308,2.757194738608968,8.386486053466797,L_hip_pitch
1777274186.9439695,0.2788685858249664,0.0626959785369165,2.5809503463850825,6.522415637969971,L_hip_pitch
1777274186.9645498,0.3236458301544189,0.1436159345789622,2.863856929227575,7.793206691741943,L_hip_pitch
1777274186.9840455,0.3624180555343628,0.1754470073348407,2.3410748619037447,4.6620073318481445,L_hip_pitch
1777274187.005582,0.4004152119159698,0.219550300912259,2.364421521652882,5.009918689727783,L_hip_pitch
1777274187.0271118,0.4326589405536651,0.2878145292320918,1.8503372295297105,3.621936798095703,L_hip_pitch
1777274187.0444696,0.4540702998638153,0.3330683435115297,2.1803949095126205,5.031891822814941,L_hip_pitch
1777274187.0643451,0.4732055366039276,0.3633653886647154,1.9386883144627232,3.5670034885406494,L_hip_pitch
1777274187.084031,0.4862178862094879,0.4032501063347284,1.3206884975737776,2.603839159011841,L_hip_pitch
1777274187.1057236,0.4934733510017395,0.4262605203751205,1.3829462569048134,2.633136987686157,L_hip_pitch
1777274187.125342,0.4935310184955597,0.4469698930114735,1.1865596484267704,1.1719107627868652,L_hip_pitch
1777274187.1443143,0.4877069592475891,0.4661452380451364,0.9324930570390944,0.5236976146697998,L_hip_pitch
1777274187.165135,0.474762499332428,0.4834030485754305,0.5887020477919858,-0.3222754597663879,L_hip_pitch
1777274187.1845417,0.4567119777202606,0.4895391589862017,0.2417065950498975,-0.3332621157169342,L_hip_pitch
1777274187.2048783,0.4318993687629699,0.4891556520855284,-0.1094088564714501,-1.5601061582565308,L_hip_pitch
1777274187.2245808,0.4024798274040222,0.4891556520855284,-0.1094088564714501,-1.5601061582565308,L_hip_pitch
1777274187.2441633,0.3684415221214294,0.4669122518464828,-1.09225745414594,-5.573900699615479,L_hip_pitch
1777274187.264503,0.3285772800445556,0.4477369068128198,-1.1778618732261117,-5.475020408630371,L_hip_pitch
1777274187.2843385,0.2858886420726776,0.4274110410771401,-1.1357463301492348,-4.017456531524658,L_hip_pitch
1777274187.3040266,0.2404529899358749,0.3986480235266499,-1.4090395825067903,-4.95498514175415,L_hip_pitch
1777274187.3264773,0.1858062148094177,0.3564622644525977,-1.5976439710684525,-3.768425464630127,L_hip_pitch
1777274187.3441615,0.1413122564554214,0.3250146985973924,-1.777550584429456,-3.768425464630127,L_hip_pitch
1777274187.3647964,0.0885757431387901,0.2820619257219938,-2.7384258552812284,-6.478469371795654,L_hip_pitch
1777274187.3840702,0.039263941347599,0.2352740838398603,-2.1694082461012605,-5.138096332550049,L_hip_pitch
1777274187.4044535,-0.0121246948838233,0.1804325970435924,-2.1510971404156627,-4.412976264953613,L_hip_pitch
1777274187.4249208,-0.062100563198328,0.1390138517708838,-2.8666035950804165,-8.10083293914795,L_hip_pitch
1777274187.443946,-0.1063756346702575,0.0903084753853871,-2.484359263893551,-3.962523221969605,L_hip_pitch
1777274187.46433,-0.1507486850023269,0.0419866059005608,-2.427594836268196,-4.757225036621094,L_hip_pitch
1777274187.4846344,-0.1910890787839889,-0.0228260603132103,-1.96844386120182,-3.5633411407470703,L_hip_pitch
1777274187.5044744,-0.2261573374271392,-0.0554241468704352,-2.2719504379406112,-3.7977232933044434,L_hip_pitch
1777274187.5244503,-0.2565664649009704,-0.0991439335471803,-2.459181493575854,-5.577562808990479,L_hip_pitch
1777274187.5441103,-0.2812318205833435,-0.1463152823299869,-2.4898525955992303,-3.3436079025268555,L_hip_pitch
1777274187.5644736,-0.3008714020252228,-0.2046083312323137,-2.0485549485763115,-1.7761772871017456,L_hip_pitch
1777274187.5843923,-0.3139614462852478,-0.2441095420016549,-1.74413281655324,-0.4248176515102386,L_hip_pitch
1777274187.6041045,-0.3207533359527588,-0.2732560664528197,-1.5042573320719022,0.886257529258728,L_hip_pitch
1777274187.628809,-0.3204585909843445,-0.2958829735925386,-1.2437818536942653,1.4575639963150024,L_hip_pitch
1777274187.6459117,-0.3145124018192291,-0.3211944290369714,-0.6862086855677973,3.3619189262390137,L_hip_pitch
1777274187.66406,-0.3031576573848724,-0.3311656084544746,-0.4994354075746948,4.185918807983398,L_hip_pitch
1777274187.6840389,-0.2848121523857116,-0.3361511981632262,-0.1135288552507096,6.042665004730225,L_hip_pitch
1777274187.7053175,-0.2588608562946319,-0.335767691262553,0.1194799645985289,7.599108695983887,L_hip_pitch
1777274187.7245097,-0.2301563769578933,-0.3346171705605334,0.1181066316721091,7.848139762878418,L_hip_pitch
1777274187.74521,-0.1940587013959884,-0.3234954704410105,0.6111331522568431,7.265846729278564,L_hip_pitch
1777274187.7641685,-0.1568286716938018,-0.3139077979241805,0.7626575518051715,9.74517059326172,L_hip_pitch
1777274187.78399,-0.1142274215817451,-0.2805426975656105,1.85308389538255,10.35309886932373,L_hip_pitch
1777274187.8041177,-0.0677982494235038,-0.2579157904258902,1.4987640003662228,9.11160659790039,L_hip_pitch
1777274187.8247216,-0.0177257284522056,-0.2107444416430863,2.274697103793449,9.781792640686035,L_hip_pitch
1777274187.8449745,0.0331917628645896,-0.1651071204629738,2.1968749046296585,10.744956970214844,L_hip_pitch
1777274187.8655162,0.0857100635766983,-0.1351935822104613,2.094790490432448,8.580584526062012,L_hip_pitch
1777274187.8859704,0.1380112916231155,-0.087255219626311,2.29758598590045,8.053224563598633,L_hip_pitch
1777274187.9044514,0.1845566928386688,-0.0235930741145567,2.246314889980773,6.43452262878418,L_hip_pitch
1777274187.924682,0.2339683175086975,0.0216607401648811,2.4889370403149504,5.980407238006592,L_hip_pitch
1777274187.9441376,0.2792489230632782,0.0880074339813478,3.0964079714346737,7.774895668029785,L_hip_pitch
1777274187.9639606,0.322416216135025,0.0880074339813478,3.0964079714346737,6.698202610015869,L_hip_pitch
1777274187.9847567,0.3637571334838867,0.1666263486193571,2.353892635883663,5.22232723236084,L_hip_pitch
1777274188.00483,0.3991815149784088,0.2410266873499583,2.5901058992278814,5.273598670959473,L_hip_pitch
1777274188.024654,0.4292879402637481,0.2789938705166082,2.175817133091221,3.014008045196533,L_hip_pitch
1777274188.044118,0.4536785781383514,0.3227136571933532,1.996826075014496,2.7979369163513184,L_hip_pitch
1777274188.064003,0.4729264080524444,0.3572292782539441,2.1213415936765645,3.728141069412232,L_hip_pitch
1777274188.084206,0.4863062500953674,0.3698850059761598,2.0870082705160686,2.215643882751465,L_hip_pitch
1777274188.104602,0.4932828247547149,0.432780137686565,1.2721640675069434,1.5198217630386353,L_hip_pitch
1777274188.1293778,0.4927745759487152,0.4531060034222475,1.2991729483932002,0.886257529258728,L_hip_pitch
1777274188.1447177,0.4875208139419555,0.4688297863498488,0.934781945249794,-0.6335642337799072,L_hip_pitch
1777274188.1646986,0.4751028418540954,0.4887721451848553,0.4705954161198766,-0.7947019934654236,L_hip_pitch
1777274188.1841989,0.4570797681808471,0.4929907210922605,-0.0540177617725151,-1.076693058013916,L_hip_pitch
1777274188.2057188,0.4307485520839691,0.4910731865888945,-0.1886043885616622,-3.321634531021118,L_hip_pitch
1777274188.2270956,0.3983652591705322,0.4837865554761037,-0.4614398632770777,-4.911038398742676,L_hip_pitch
1777274188.2448866,0.3670338988304138,0.4726648553565808,-0.5534531693472083,-4.746238708496094,L_hip_pitch
1777274188.2660365,0.3254033923149109,0.446202879210127,-1.0950041199987797,-5.716727256774902,L_hip_pitch
1777274188.2839954,0.286655843257904,0.432780137686565,-1.1297952208014157,-5.130771636962891,L_hip_pitch
1777274188.304067,0.240357905626297,0.4201244099643493,-1.467635120700705,-6.145206928253174,L_hip_pitch
1777274188.32943,0.1784482896327972,0.3480251126377846,-2.2225104525894954,-6.361278057098389,L_hip_pitch
1777274188.3451135,0.1388933956623077,0.3315343159088368,-1.9391460921048616,-5.603198528289795,L_hip_pitch
1777274188.3645318,0.0892536416649818,0.2812949119206474,-2.05908383434553,-5.954771518707275,L_hip_pitch
1777274188.3842332,0.038848627358675,0.2272204389257231,-2.8926969206823934,-6.148869514465332,L_hip_pitch
1777274188.40571,-0.0152469146996736,0.1838841591496512,-2.304452650532548,-3.918576717376709,L_hip_pitch
1777274188.4252388,-0.0628605112433433,0.1838841591496512,-2.304452650532548,-3.918576717376709,L_hip_pitch
1777274188.4443426,-0.1072728633880615,0.1014301755049099,-2.59971922971282,-5.464034080505371,L_hip_pitch
1777274188.4665656,-0.155391588807106,0.0170586573568027,-2.877590258491775,-4.709616184234619,L_hip_pitch
1777274188.4844227,-0.1906906217336654,-0.0247435948165763,-2.148808252204963,-3.101901292800904,L_hip_pitch
1777274188.5044007,-0.2260361611843109,-0.0604097365791869,-2.322305978576007,-3.8929409980773926,L_hip_pitch
1777274188.528053,-0.2614904940128326,-0.1424802133232549,-2.287057100131229,-3.076265811920166,L_hip_pitch
1777274188.5440283,-0.2811403274536133,-0.1593545169528758,-1.9647816400647,-2.0471816062927246,L_hip_pitch
1777274188.5650246,-0.3013162910938263,-0.2080598933383725,-1.85308389538255,-0.8642842173576355,L_hip_pitch
1777274188.5841825,-0.3138556778430938,-0.2375899246902104,-1.8013550218207346,-0.1391644030809402,L_hip_pitch
1777274188.6043935,-0.3208066821098327,-0.2770911354595517,-1.6127506332590724,0.5420087575912476,L_hip_pitch
1777274188.626284,-0.3209393620491028,-0.3039366185066758,-1.2030396435438102,3.548692226409912,L_hip_pitch
1777274188.6454055,-0.3147584795951843,-0.3208109221362981,-0.791497543259988,3.8709676265716553,L_hip_pitch
