time,L_hip_pitch_target,R_hip_pitch_target,L_hip_roll_target,R_hip_roll_target,L_hip_yaw_target,R_hip_yaw_target,L_knee_target,R_knee_target,L_foot_pitch_target,R_foot_pitch_target,L_foot_roll_target,R_foot_roll_target,L_hip_pitch_pos,R_hip_pitch_pos,L_hip_roll_pos,R_hip_roll_pos,L_hip_yaw_pos,R_hip_yaw_pos,L_knee_pos,R_knee_pos,L_foot_pitch_pos,R_foot_pitch_pos,L_foot_roll_pos,R_foot_roll_pos,L_hip_pitch_vel,R_hip_pitch_vel,L_hip_roll_vel,R_hip_roll_vel,L_hip_yaw_vel,R_hip_yaw_vel,L_knee_vel,R_knee_vel,L_foot_pitch_vel,R_foot_pitch_vel,L_foot_roll_vel,R_foot_roll_vel,L_hip_pitch_tau,R_hip_pitch_tau,L_hip_roll_tau,R_hip_roll_tau,L_hip_yaw_tau,R_hip_yaw_tau,L_knee_tau,R_knee_tau,L_foot_pitch_tau,R_foot_pitch_tau,L_foot_roll_tau,R_foot_roll_tau
0.0,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06604491174221039,0.05668269842863083,-0.0073907445184886456,0.006920843385159969,0.07553610950708389,-0.07467401027679443,0.25281938910484314,0.2696373164653778,-0.17497585713863373,-0.1759771853685379,-0.052469249814748764,0.04468903690576553,-0.5558388233184814,-0.4383498728275299,-1.519692301750183,1.5590482950210571,-20.990049362182617,20.99176025390625,-3.3188817501068115,-1.6194627285003662,29.998144149780273,29.998546600341797,-30.000011444091797,30.000015258789062,-4.607487201690674,-25.331727981567383,-10.713912010192871,10.730830192565918,-50.0,50.0,-10.020830154418945,-10.0738525390625,30.0,30.0,-30.0,30.0
0.02,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06814135611057281,0.03746221214532852,0.0029704004991799593,-0.005735102575272322,0.27272874116897583,-0.2715625762939453,0.2482580691576004,0.28667011857032776,-0.3536315858364105,-0.3524755835533142,0.14447642862796783,-0.15155090391635895,0.3818349838256836,-1.497146487236023,1.5701022148132324,-1.8013043403625488,20.98472785949707,-20.98908042907715,3.4578113555908203,4.034546852111816,-30.000015258789062,-30.000009536743164,30.000009536743164,-30.00000762939453,1.101036548614502,-22.873079299926758,11.208333969116211,-11.379566192626953,49.3736457824707,-49.533958435058594,9.4491548538208,1.3236708641052246,-29.84886932373047,-29.819231033325195,30.0,-30.0
0.04,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06595887243747711,0.011362369172275066,-0.0073469835333526134,0.006812799256294966,0.07551716268062592,-0.0744411051273346,0.2528589963912964,0.28738299012184143,-0.17443399131298065,-0.16306737065315247,-0.04844766855239868,0.04080576077103615,-0.5613067150115967,-0.6727105379104614,-1.5190331935882568,1.7547358274459839,-20.990089416503906,20.9942626953125,-3.3365797996520996,-3.871100902557373,29.998361587524414,29.998775482177734,-30.000009536743164,30.0,-4.616482734680176,-12.531214714050293,-10.740336418151855,12.740796089172363,-50.0,50.0,-10.059886932373047,-18.704261779785156,30.0,30.0,-30.0,30.0
0.06,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06811781227588654,-0.011921385303139687,0.0030314873438328505,-0.0037206339184194803,0.2727104723453522,-0.2704842984676361,0.24819707870483398,0.2700064480304718,-0.353282630443573,-0.32761630415916443,0.14844860136508942,-0.15423250198364258,0.3809489905834198,-1.7163366079330444,1.5708584785461426,-1.6312766075134277,20.98474884033203,-20.98780632019043,3.4618284702301025,2.9944489002227783,-30.00002098083496,-29.68838882446289,30.0000057220459,-30.00000762939453,1.1210911273956299,-13.1920747756958,11.196172714233398,-12.632086753845215,49.37717819213867,-49.58338928222656,9.495119094848633,4.884364128112793,-29.865341186523438,-30.0,30.0,-30.0
0.08,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06595499813556671,-0.04234811291098595,-0.007268247194588184,0.008261428214609623,0.0755036398768425,-0.07307422161102295,0.25283730030059814,0.26492801308631897,-0.17415595054626465,-0.13083557784557343,-0.04443131387233734,0.03874032571911812,-0.5622137784957886,-0.8961201906204224,-1.5185143947601318,1.6137511730194092,-20.990100860595703,20.992816925048828,-3.3359885215759277,-3.511972665786743,29.998573303222656,29.998910903930664,-30.00001335144043,30.000017166137695,-4.614961624145508,-2.21743106842041,-10.756247520446777,11.273012161254883,-50.0,50.0,-10.060959815979004,-12.58450698852539,30.0,30.0,-30.0,30.0
0.1,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06813158094882965,-0.06778053939342499,0.003115798579528928,-0.002124314894899726,0.272694855928421,-0.27179694175720215,0.24823600053787231,0.2558925151824951,-0.35310041904449463,-0.2987601161003113,0.1524202823638916,-0.1569698005914688,0.38002026081085205,-1.6964735984802246,1.5710662603378296,-1.586385726928711,20.984764099121094,-20.987096786499023,3.464520215988159,3.386789083480835,-30.00000762939453,-30.000015258789062,30.000003814697266,-30.000003814697266,1.1262896060943604,-2.072026252746582,11.178627967834473,-11.976439476013184,49.37964630126953,-49.82508850097656,9.497251510620117,7.848875999450684,-29.8738956451416,-30.0,30.0,-30.0
0.12,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06599299609661102,-0.09415040910243988,-0.007191096432507038,0.0089761046692729,0.07549701631069183,-0.0741058886051178,0.25285375118255615,0.2544560134410858,-0.17402595281600952,-0.10817988216876984,-0.04041333124041557,0.03616786375641823,-0.5635809898376465,-0.532452404499054,-1.5192289352416992,1.544354796409607,-20.9901180267334,20.992435455322266,-3.3393642902374268,-3.5942609310150146,29.998783111572266,29.999032974243164,-30.00001335144043,30.000009536743164,-4.606446743011475,7.708107948303223,-10.772773742675781,10.693883895874023,-50.0,50.0,-10.076040267944336,-11.221019744873047,30.0,30.0,-30.0,30.0
0.14,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06818722188472748,-0.11096976697444916,0.0031801373697817326,-0.0011828767601400614,0.27268102765083313,-0.27256980538368225,0.24826127290725708,0.2450646460056305,-0.35297247767448425,-0.28038233518600464,0.15639135241508484,-0.1599380522966385,0.37955260276794434,-1.2059332132339478,1.5704647302627563,-1.5397365093231201,20.984790802001953,-20.986621856689453,3.4661850929260254,3.3619704246520996,-30.00001335144043,-30.000003814697266,30.000003814697266,-30.0,1.1420161724090576,4.888546466827393,11.16938591003418,-11.65400505065918,49.380889892578125,-49.63824462890625,9.504417419433594,9.980700492858887,-29.87800407409668,-30.0,30.0,-30.0
0.16,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06605739891529083,-0.1266700178384781,-0.007143891416490078,0.009079640731215477,0.07549388706684113,-0.07490967214107513,0.2528642416000366,0.245123952627182,-0.17394551634788513,-0.09421578794717789,-0.03639722242951393,0.033122461289167404,-0.5639103651046753,0.03277016058564186,-1.5202780961990356,1.472460150718689,-20.99013900756836,20.991886138916016,-3.341315507888794,-3.5471458435058594,29.998991012573242,29.999202728271484,-30.00000762939453,30.000009536743164,-4.5933918952941895,12.293655395507812,-10.78044605255127,10.221205711364746,-50.0,50.0,-10.08558464050293,-9.19754695892334,30.0,30.0,-30.0,30.0
0.18,-0.07999999821186066,-0.08621926605701447,0.0,0.0,0.0,0.0,0.25,0.25,-0.17000000178813934,-0.17000000178813934,0.0,0.0,-0.06825192272663116,-0.13232578337192535,0.0032093257177621126,-0.0011929187458008528,0.2726694941520691,-0.27315717935562134,0.24829447269439697,0.23888519406318665,-0.35286736488342285,-0.27259936928749084,0.1603611260652542,-0.16343490779399872,0.37979355454444885,-0.6499383449554443,1.5697370767593384,-1.5301927328109741,20.98480224609375,-20.986257553100586,3.467968702316284,3.5148932933807373,-30.00000762939453,-30.00002670288086,30.0000057220459,-30.0000057220459,1.1557495594024658,7.068129539489746,11.167707443237305,-11.205326080322266,49.38151550292969,-49.49191665649414,9.508382797241211,11.519125938415527,-29.880624771118164,-30.0,30.0,-30.0
