time,cmd_L_hip_pitch,cmd_R_hip_pitch,cmd_L_hip_roll,cmd_R_hip_roll,cmd_L_hip_yaw,cmd_R_hip_yaw,cmd_L_knee,cmd_R_knee,cmd_L_foot_pitch,cmd_R_foot_pitch,cmd_L_foot_roll,cmd_R_foot_roll,pos_L_hip_pitch,pos_R_hip_pitch,pos_L_hip_roll,pos_R_hip_roll,pos_L_hip_yaw,pos_R_hip_yaw,pos_L_knee,pos_R_knee,pos_L_foot_pitch,pos_R_foot_pitch,pos_L_foot_roll,pos_R_foot_roll,act_R_hip_yaw,act_R_hip_roll,act_R_hip_pitch,act_R_knee,act_R_foot_pitch,act_R_foot_roll,act_L_hip_yaw,act_L_hip_roll,act_L_hip_pitch,act_L_knee,act_L_foot_pitch,act_L_foot_roll
0.0,-0.11368498206138611,0.0455307811498642,-0.009651181288063526,-0.012581010349094868,0.08610322326421738,-0.3299316465854645,0.34875065088272095,0.3672012686729431,0.13617686927318573,-0.35207274556159973,0.06392700970172882,0.060945864766836166,-0.07920730674702549,0.0783641561178757,-0.0035235805618292725,-0.012364702857800607,0.04648660561889431,-0.20575965379828126,0.28174835980840846,0.3137645008178547,-0.26909205457076,-0.35388182738973023,0.026741382085910502,0.008347828557366703,-0.659863293170929,-0.025162020698189735,-0.06893843412399292,0.23440255224704742,-0.36414551734924316,0.24378345906734467,0.17220644652843475,-0.019302362576127052,-0.0673699676990509,0.1975013166666031,0.6123537421226501,0.2557080388069153
0.02,-0.08546528965234756,0.06699157506227493,-0.014515149407088757,-0.02961382269859314,0.15818534791469574,-0.6687206625938416,0.3682507872581482,0.4330805242061615,0.260458379983902,-0.49711474776268005,0.11476587504148483,0.051393065601587296,-0.07510543203159209,0.07985373744196442,-0.01588116282985193,-0.04495386379218528,0.11069533226366768,-0.5385041544707042,0.3006135690338803,0.40565271237125733,-0.28385032545350913,-0.4324193195360949,0.06518743628197322,0.03375871565428319,-1.337441325187683,-0.05922764539718628,-0.026016850024461746,0.366161048412323,-0.6542295217514038,0.20557226240634918,0.3163706958293915,-0.029030298814177513,-0.010930575430393219,0.2365015745162964,0.8609167337417603,0.45906350016593933
0.04,-0.06276759505271912,0.08776243776082993,-0.024255678057670593,0.017427165061235428,0.15284255146980286,-0.7864946126937866,0.4406983256340027,0.5059563517570496,0.3244372606277466,-0.5379720330238342,0.10304410755634308,-0.017690056934952736,-0.06044001681172399,0.09090437912753524,-0.02129046722499026,-0.05902239202799137,0.14984055779162628,-0.73691800545853,0.3435291386352567,0.48205358010584365,-0.31584899716202475,-0.4840414550048734,0.05440820624359841,0.029087994899351714,-1.5729892253875732,0.034854330122470856,0.01552487351000309,0.5119127035140991,-0.7359440326690674,-0.07076022773981094,0.3056851029396057,-0.048511356115341187,0.03446481376886368,0.38139668107032776,0.9888744950294495,0.4121764302253723
0.06,-0.044044129550457,0.0845097154378891,-0.04992120712995529,0.027350790798664093,0.12699227035045624,-0.8424360752105713,0.5042034387588501,0.606918215751648,0.29884326457977295,-0.48535796999931335,0.0565524660050869,-0.09097810089588165,-0.038355379983367625,0.10150381691037982,-0.023427095089731478,-0.05869312213158502,0.1454960493084533,-0.8196975607607029,0.4134681870098885,0.5577598313375299,-0.356793669621175,-0.5017208420570375,0.010915267890234526,-0.013227371802313856,-1.6848721504211426,0.054701581597328186,0.00901943538337946,0.7138363718986511,-0.6307159662246704,-0.3639124035835266,0.2539845407009125,-0.09984241425991058,0.07191173732280731,0.508406937122345,0.9376865029335022,0.2262098640203476
0.08,-0.011882269755005836,0.0735560953617096,-0.050740525126457214,-0.005651611834764481,0.10288845002651215,-0.8644824028015137,0.5498153567314148,0.6913766860961914,0.24673105776309967,-0.44737449288368225,-0.010237988084554672,-0.1400282233953476,-0.01364711252905674,0.10343576283845181,-0.031838907290313544,-0.06082756503939217,0.12138202882466144,-0.8552054355344896,0.4881505488268496,0.6439857213777765,-0.4001229940775389,-0.5062295340089059,-0.013178135456877491,-0.064759262246237,-1.7289648056030273,-0.011303223669528961,-0.012887805700302124,0.882753312587738,-0.5547490119934082,-0.5601128935813904,0.2057769000530243,-0.10148105025291443,0.13623546063899994,0.5996307134628296,0.833462119102478,-0.04095195233821869
0.1,-0.013374561443924904,0.07736041396856308,-0.0071702683344483376,-0.011651932261884212,0.07514655590057373,-0.9012683629989624,0.5740344524383545,0.7155759334564209,0.24063478410243988,-0.46882039308547974,-0.07655782252550125,-0.17698299884796143,0.001992721573476659,0.10830241138656033,-0.039102013904509625,-0.05924382492585855,0.08971540368831761,-0.8884227128720076,0.5435258247406931,0.6967852643603134,-0.4395165630585026,-0.5682990451948193,-0.008990738805951484,-0.1002504437053709,-1.8025367259979248,-0.023303864523768425,-0.0052791777998209,0.9311518669128418,-0.5976408123970032,-0.7079319953918457,0.15029311180114746,-0.014340536668896675,0.1332508772611618,0.6480689644813538,0.8212695717811584,-0.306231290102005
0.12,0.01809368096292019,0.10188688337802887,0.018217911943793297,-0.012428236193954945,0.04937586188316345,-0.941806972026825,0.58600914478302,0.7288655042648315,0.22001437842845917,-0.49150827527046204,-0.13563355803489685,-0.19876936078071594,0.013648551551010128,0.11118048996615461,-0.043676972071969716,-0.05331234540758501,0.05940902475420257,-0.9275976518761333,0.577070794198308,0.7143266638954145,-0.4739690834151931,-0.6217626881220646,0.0137529470607391,-0.1254219257956305,-1.88361394405365,-0.02485647238790989,0.04377376288175583,0.9577310681343079,-0.6430165767669678,-0.7950774431228638,0.0987517237663269,0.036435823887586594,0.196187362074852,0.67201828956604,0.780028760433197,-0.5425342321395874
0.14,0.03275349736213684,0.12089027464389801,0.03448276221752167,-0.013458934612572193,0.021523138508200645,-0.9550560116767883,0.5746133923530579,0.7114684581756592,0.16232793033123016,-0.526710569858551,-0.17734631896018982,-0.2022104114294052,0.024428219051513107,0.1192027251465392,-0.05804759263015247,-0.05511072882657043,0.04704981447932635,-0.9556045737811654,0.6095783854727327,0.706313882983183,-0.4832049050430455,-0.6721641775481523,0.0239976537637566,-0.13158112087254675,-1.9101120233535767,-0.026917869225144386,0.08178055286407471,0.9229369759559631,-0.7134211659431458,-0.8088416457176208,0.04304627701640129,0.06896552443504333,0.225506991147995,0.6492267847061157,0.664655864238739,-0.7093852758407593
0.16,0.05992169678211212,0.13731518387794495,0.052370861172676086,-0.05314125493168831,0.006823206320405006,-0.9492225050926208,0.5675449371337891,0.6946738958358765,0.08234407007694244,-0.5482776165008545,-0.20581454038619995,-0.19830480217933655,0.033124607513135076,0.12249966590748959,-0.06975568617186914,-0.05472456792558837,0.03874024038655634,-0.9625506841383946,0.6205337781370479,0.6891098869442177,-0.4817756589507939,-0.7095827595100759,0.03265478310686212,-0.1271230089549685,-1.8984450101852417,-0.10628250986337662,0.11463036388158798,0.8893477916717529,-0.7565552592277527,-0.7932192087173462,0.013646412640810013,0.10474172234535217,0.27984338998794556,0.6350898742675781,0.5046881437301636,-0.8232581615447998
0.18,0.06809563934803009,0.13843464851379395,0.02671998366713524,-0.08255083113908768,-0.0029943548142910004,-0.9728919267654419,0.5961910486221313,0.6809353828430176,0.021426575258374214,-0.5316463708877563,-0.21306109428405762,-0.2028362900018692,0.04270056911705043,0.12393158108947831,-0.07897781445809038,-0.05589667216305555,0.026216332281079623,-0.9719431580732518,0.6233599776880239,0.6770431941354734,-0.47524794998021136,-0.7402383939983529,0.04122359473680118,-0.13200182430357704,-1.9457838535308838,-0.16510166227817535,0.11686928570270538,0.8618707656860352,-0.7232927680015564,-0.8113451600074768,-0.005988709628582001,0.05343996733427048,0.2961912751197815,0.6923821568489075,0.3828531503677368,-0.8522443771362305
