time,cmd_L_hip_pitch,cmd_R_hip_pitch,cmd_L_hip_roll,cmd_R_hip_roll,cmd_L_hip_yaw,cmd_R_hip_yaw,cmd_L_knee,cmd_R_knee,cmd_L_foot_pitch,cmd_R_foot_pitch,cmd_L_foot_roll,cmd_R_foot_roll,pos_L_hip_pitch,pos_R_hip_pitch,pos_L_hip_roll,pos_R_hip_roll,pos_L_hip_yaw,pos_R_hip_yaw,pos_L_knee,pos_R_knee,pos_L_foot_pitch,pos_R_foot_pitch,pos_L_foot_roll,pos_R_foot_roll,act_R_hip_yaw,act_R_hip_roll,act_R_hip_pitch,act_R_knee,act_R_foot_pitch,act_R_foot_roll,act_L_hip_yaw,act_L_hip_roll,act_L_hip_pitch,act_L_knee,act_L_foot_pitch,act_L_foot_roll
0.0,-0.07924774289131165,0.019581643864512444,-0.0088100740686059,-0.042864225804805756,0.10601083934307098,-0.340379923582077,0.34420549869537354,0.3725154995918274,0.08075396716594696,-0.4136601984500885,0.08269339054822922,0.028120772913098335,-0.06776673927399221,0.0655740341866252,-0.005549478525609143,-0.0169133595113661,0.0596352758865389,-0.21339605882755627,0.2851563984240049,0.31748290033994836,-0.2702134770544574,-0.36841294716637557,0.033283303604804554,-0.001382479422450561,-0.680759847164154,-0.08572845160961151,-0.12083671241998672,0.24503099918365479,-0.4873203933238983,0.11248309165239334,0.21202167868614197,-0.0176201481372118,0.0015045199543237686,0.18841102719306946,0.5015079379081726,0.33077356219291687
0.02,-0.05845310166478157,0.03930345177650452,-0.021274670958518982,-0.06201719120144844,0.20292773842811584,-0.6481292247772217,0.4039028286933899,0.4319605827331543,0.2286069244146347,-0.5804755091667175,0.14159131050109863,0.0182785727083683,-0.05528416833794229,0.060809177518595735,-0.020401474588532902,-0.055947768973088334,0.1449479919335746,-0.5296339050817283,0.31599574759906224,0.40968159248356745,-0.29003600970355276,-0.4758898054939725,0.08096108336163926,0.011547003476441109,-1.2962584495544434,-0.12403438240289688,-0.08139309287071228,0.3639211356639862,-0.8209510445594788,0.0731142908334732,0.4058554768562317,-0.042549341917037964,0.04309379309415817,0.3078056871891022,0.7972138524055481,0.5663652420043945
0.04,-0.03347383439540863,0.07649312168359756,-0.03280379995703697,-0.003844265826046467,0.21866707503795624,-0.7634071111679077,0.48530149459838867,0.4931934177875519,0.2831352949142456,-0.6505749821662903,0.1383984386920929,-0.05305708199739456,-0.03553695385450872,0.0751741083044337,-0.027277566145239594,-0.07421581680991342,0.20335163994251199,-0.7158451456100253,0.37519676922745215,0.4774735433192908,-0.3287513665853194,-0.5582684733869107,0.08282798492402,-0.000999298309758589,-1.5268142223358154,-0.007688531652092934,-0.00701376236975193,0.48638683557510376,-0.9611499905586243,-0.21222832798957825,0.4373341500759125,-0.06560759991407394,0.09305232763290405,0.47060298919677734,0.9062705636024475,0.5535937547683716
0.06,0.0009899643482640386,0.08228646963834763,-0.05186022073030472,0.02104952186346054,0.21826092898845673,-0.8387883305549622,0.5503702759742737,0.5844166278839111,0.22999735176563263,-0.6294602751731873,0.11090149730443954,-0.11782144010066986,-0.0062657824816319575,0.09067475850206846,-0.026267212322028635,-0.07402588181128951,0.22425534540190784,-0.808139378083018,0.4637731427941983,0.5392990577573066,-0.37534181421448215,-0.6074598662393252,0.046067726298382836,-0.04400369849304836,-1.6775766611099243,0.04209904372692108,0.004572933539748192,0.668833315372467,-0.9189205765724182,-0.47128576040267944,0.43652185797691345,-0.10372044146060944,0.16197992861270905,0.6007405519485474,0.799994707107544,0.4436059892177582
0.08,0.0280857365578413,0.07459807395935059,-0.061502598226070404,-0.01095584500581026,0.21007944643497467,-0.8632486462593079,0.6134302616119385,0.650070071220398,0.1739783138036728,-0.633587121963501,0.06387905776500702,-0.1724860966205597,0.022801961108057416,0.0979895824490754,-0.03071833662155403,-0.07371539840158865,0.22272734716438253,-0.8485783233254568,0.5543330012283585,0.6120986667582302,-0.41969556405349645,-0.6271141905560084,0.011189860969776023,-0.09933377062422331,-1.7264972925186157,-0.02191169001162052,-0.010803848505020142,0.8001402020454407,-0.9271742701530457,-0.6899443864822388,0.42015889286994934,-0.12300519645214081,0.2161714732646942,0.726860523223877,0.6879566311836243,0.2555162310600281
0.1,0.05360756814479828,0.07109663635492325,-0.0549440011382103,-0.06617657840251923,0.19185708463191986,-0.8701103329658508,0.6503502130508423,0.6860934495925903,0.13767246901988983,-0.6332453489303589,-0.002993161790072918,-0.208079531788826,0.04641778693495079,0.09779915080234057,-0.048165387116502485,-0.07932834537633018,0.20734936558451095,-0.863435506180043,0.6267682224622063,0.6750783365201124,-0.4573019715119598,-0.6311050021644189,-0.005589373516111742,-0.15120235372612922,-1.7402206659317017,-0.13235315680503845,-0.01780671998858452,0.8721868991851807,-0.9264907240867615,-0.832318127155304,0.3837141692638397,-0.1098880022764206,0.26721513271331787,0.8007004857063293,0.6153449416160583,-0.011972647160291672
0.12,0.07742269337177277,0.06861993670463562,-0.03254353627562523,-0.12423810362815857,0.1579623967409134,-0.8602285385131836,0.6450930833816528,0.7122904062271118,0.1001255065202713,-0.5987809300422668,-0.07172686606645584,-0.22519345581531525,0.06298048218042598,0.09091936419260822,-0.07416353646335452,-0.09190150697023462,0.1787431521913551,-0.8677905058133787,0.6641181392747603,0.7046399752232223,-0.4888520196552158,-0.712399359305277,-0.008652821038874542,-0.15502483213056825,-1.7204570770263672,-0.24847620725631714,-0.02276012673974037,0.9245807528495789,-0.8575618267059326,-0.900773823261261,0.3159247934818268,-0.06508707255125046,0.31484538316726685,0.7901862263679504,0.5402510166168213,-0.28690746426582336
0.14,0.09982746839523315,0.08781994134187698,-0.005618534050881863,-0.15014414489269257,0.11905517429113388,-0.8822598457336426,0.6419938802719116,0.7170220613479614,0.06594808399677277,-0.5911717414855957,-0.1138242781162262,-0.25591179728507996,0.06847419684172149,0.0807831369684874,-0.08153979179007116,-0.1022902745756304,0.13423713354264236,-0.8810102408821505,0.672672479679607,0.7445261013999172,-0.5217842457870193,-0.7546923381232081,0.00269521158431086,-0.08018705262233122,-1.7645196914672852,-0.30028828978538513,0.015639886260032654,0.9340440630912781,-0.8423435091972351,-1.0236471891403198,0.23811034858226776,-0.011237068101763725,0.3596549332141876,0.7839877009391785,0.4718961715698242,-0.4552971124649048
0.16,0.010244330391287804,0.08605369925498962,-0.06766057014465332,-0.13083872199058533,0.1219438686966896,-0.8959532976150513,0.7094583511352539,0.6741980314254761,-0.012916071340441704,-0.5915920734405518,-0.14106310904026031,-0.28309208154678345,0.061117030688466356,0.09972900428237458,-0.0856304922331825,-0.11174221294137306,0.1172002981475027,-0.9018248880787306,0.6961232129946172,0.7688346285334936,-0.52633734994237,-0.7780425077470097,0.01821850684228627,-0.05791927197308447,-1.7919065952301025,-0.26167744398117065,0.01210740115493536,0.8483960628509521,-0.8431841135025024,-1.1323683261871338,0.2438877373933792,-0.13532114028930664,0.18048866093158722,0.918916642665863,0.314167857170105,-0.5642524361610413
0.18,0.03426998108625412,0.10633377730846405,-0.043686579912900925,-0.08951758593320847,0.11754081398248672,-0.9121236801147461,0.7246525883674622,0.6162595748901367,-0.13777779042720795,-0.6735827326774597,-0.16837070882320404,-0.26584476232528687,0.06108130846049778,0.11801646733206447,-0.07599330627096527,-0.09313636246966273,0.10666261347155152,-0.9186178683511037,0.7156895319861843,0.751370449054494,-0.5327763716394877,-0.7788453114802905,0.009611976162280168,-0.04892720599797576,-1.8242473602294922,-0.17903517186641693,0.052667561918497086,0.7325192093849182,-1.0071654319763184,-1.0633790493011475,0.23508162796497345,-0.08737315982580185,0.22853995859622955,0.9493051767349243,0.0644444078207016,-0.6734828352928162
