time,cmd_L_hip_pitch,cmd_R_hip_pitch,cmd_L_hip_roll,cmd_R_hip_roll,cmd_L_hip_yaw,cmd_R_hip_yaw,cmd_L_knee,cmd_R_knee,cmd_L_foot_pitch,cmd_R_foot_pitch,cmd_L_foot_roll,cmd_R_foot_roll,pos_L_hip_pitch,pos_R_hip_pitch,pos_L_hip_roll,pos_R_hip_roll,pos_L_hip_yaw,pos_R_hip_yaw,pos_L_knee,pos_R_knee,pos_L_foot_pitch,pos_R_foot_pitch,pos_L_foot_roll,pos_R_foot_roll,act_L_hip_pitch,act_R_hip_pitch,act_L_hip_roll,act_R_hip_roll,act_L_hip_yaw,act_R_hip_yaw,act_L_knee,act_R_knee,act_L_foot_pitch,act_R_foot_pitch,act_L_foot_roll,act_R_foot_roll
0.0,-0.04586803540587425,-0.025231679901480675,0.03699208050966263,-0.13980577886104584,-0.021386785432696342,0.04404323175549507,0.490689754486084,0.40736985206604004,0.0027877558022737503,-0.29296863079071045,0.05720369145274162,0.1745535284280777,-0.05695605762496239,0.058840307002939574,-0.006032996397196809,-0.008076816503021408,-0.004383002096403494,0.010276594129373252,0.28756759497392714,0.2889831738614428,-0.2697673215864212,-0.29061478090185494,0.00923160147550521,0.03344072624339126,0.06826392561197281,-0.21046335995197296,0.07398416101932526,-0.2796115577220917,-0.042773570865392685,0.08808646351099014,0.48137953877449036,0.31473973393440247,0.3455755114555359,-0.2459372729063034,0.2288147658109665,0.6982141137123108
0.02,-0.028134027495980263,-0.06574520468711853,0.03780575469136238,-0.1109820008277893,-0.005726261530071497,0.07081596553325653,0.5460729598999023,0.4136887490749359,0.1574547439813614,-0.25038760900497437,0.03691783919930458,0.18955595791339874,-0.01737200727309672,0.028089953116562965,-0.023614405889036363,-0.0323189156411475,-0.010135691995137839,0.034078818737902174,0.34426065427515823,0.34438139031115633,-0.28449192731825734,-0.3377175672413071,0.02165821015684038,0.09293915623176763,0.10373194515705109,-0.2914904057979584,0.07561150938272476,-0.2219640016555786,-0.011452523060142994,0.14163193106651306,0.5921459197998047,0.3273774981498718,0.6549094915390015,-0.16077521443367004,0.14767135679721832,0.758223831653595
0.04,-0.004556426778435707,-0.08673489093780518,0.03789569064974785,-0.07931240648031235,-0.013378390111029148,0.08333658427000046,0.5665520429611206,0.39164334535598755,0.18355275690555573,-0.28118833899497986,0.03574554622173309,0.19774706661701202,0.017334735336064774,0.00597679015626178,-0.04145969215035227,-0.051309147351039745,-0.014940618676747919,0.06452553843679677,0.4080587205276173,0.3792847005996518,-0.3015735395293218,-0.3836344280544201,0.026303653551513154,0.11758073554414962,0.1508871465921402,-0.33346977829933167,0.0757913812994957,-0.1586248129606247,-0.026756780222058296,0.16667316854000092,0.6331040263175964,0.2832866609096527,0.7071055173873901,-0.22237668931484222,0.14298218488693237,0.7909882664680481
0.06,0.023862941190600395,-0.09624804556369781,0.010278120636940002,-0.07319403439760208,-0.02698950096964836,0.09092339128255844,0.5830065011978149,0.3658697009086609,0.17092718183994293,-0.3241313397884369,0.030081862583756447,0.20803998410701752,0.04679647162154809,-0.009107753229010918,-0.053184333945020784,-0.0629063957609805,-0.01977883332074077,0.08191909292373217,0.46480156176340226,0.39992760098918534,-0.3178937601064798,-0.42025309342351364,0.026588576543153473,0.1318699376087168,0.2077258825302124,-0.35249608755111694,0.020556241273880005,-0.14638806879520416,-0.05397900193929672,0.18184678256511688,0.6660130620002747,0.23173943161964417,0.6818543672561646,-0.3082626760005951,0.12032745033502579,0.8321599364280701
0.08,0.04147898405790329,-0.08717864751815796,-0.013486345298588276,-0.0793626680970192,-0.04168996214866638,0.09339119493961334,0.614263653755188,0.3502597212791443,0.14773176610469818,-0.31664150953292847,0.021551379933953285,0.21142058074474335,0.0694186446274947,-0.018183709991248426,-0.0520803290932985,-0.0631198362293369,-0.028458653854165114,0.09081052991336205,0.5091252698008154,0.40690559068461074,-0.32922268878200955,-0.4238638116321189,0.025609377814709608,0.11537428100773518,0.2429579645395279,-0.33435729146003723,-0.026972690597176552,-0.1587253361940384,-0.08337992429733276,0.18678238987922668,0.728527307510376,0.2005194127559662,0.635463535785675,-0.29328301548957825,0.08620551973581314,0.8456823229789734
0.1,0.05821515619754791,-0.1016165018081665,-0.03220672160387039,-0.08394493162631989,-0.04436543956398964,0.08794993162155151,0.6277577877044678,0.3413984477519989,0.12055982649326324,-0.3405858874320984,0.004792820196598768,0.21582162380218506,0.08965334944629781,-0.023872147344018078,-0.0502618077811537,-0.06139325915066746,-0.03678167129526955,0.09574973056666382,0.5433567136119212,0.4049303533392661,-0.3300176116652299,-0.41810778492150097,0.022925851916541975,0.11183958257890739,0.27643030881881714,-0.3632330000400543,-0.06441344320774078,-0.16788986325263977,-0.08873087912797928,0.17589986324310303,0.7555156350135803,0.1827968955039978,0.5811196565628052,-0.3411718010902405,0.019171280786395073,0.8632864952087402
0.12,0.05921059846878052,-0.10883815586566925,-0.030658569186925888,-0.08490289002656937,-0.044384170323610306,0.082906074821949,0.6343435049057007,0.33714768290519714,0.08591316640377045,-0.31731361150741577,-0.011860973201692104,0.2124178260564804,0.10686412527457506,-0.028414690853448873,-0.05067156867245576,-0.061375955586110635,-0.040796624444891974,0.09884130878047095,0.5671347284417664,0.3990312582427643,-0.32391055517803286,-0.410972672696513,0.01589887908288844,0.1121239562373445,0.27842119336128235,-0.3776763081550598,-0.061317138373851776,-0.16980578005313873,-0.08876834064722061,0.165812149643898,0.7686870694160461,0.1742953509092331,0.5118263363838196,-0.29462724924087524,-0.04744389280676842,0.8496713042259216
0.14,0.06363901495933533,-0.11202795803546906,-0.029030095785856247,-0.09376830607652664,-0.044880710542201996,0.08130965381860733,0.6462602615356445,0.3361290395259857,0.05781087279319763,-0.28908732533454895,-0.022110583260655403,0.21273565292358398,0.11927075670440455,-0.030612014525650977,-0.05096781469463473,-0.061360022963495964,-0.04167676155372081,0.100439211340307,0.582431832476474,0.39131391359336687,-0.3165842705697981,-0.403613005277731,0.009168645362613442,0.11249178451744712,0.28727802634239197,-0.3840559124946594,-0.058060191571712494,-0.18753661215305328,-0.08976142108440399,0.16261930763721466,0.7925205826759338,0.17225807905197144,0.45562174916267395,-0.2381746619939804,-0.08844233304262161,0.8509426116943359
0.16,0.06883734464645386,-0.1163257360458374,-0.027549048885703087,-0.10108745098114014,-0.041507065296173096,0.08079241216182709,0.6570487022399902,0.33595359325408936,0.03509467840194702,-0.25959035754203796,-0.02973623014986515,0.21444788575172424,0.12919412289406582,-0.032357116579045754,-0.051001280814366605,-0.06114885372121858,-0.04166648744066244,0.10066997685275585,0.5932699865124432,0.3847161757188111,-0.3096191411264415,-0.39745822580907547,0.004176831948373872,0.11255105837002724,0.29767468571662903,-0.3926514685153961,-0.055098097771406174,-0.20217490196228027,-0.08301413059234619,0.16158482432365417,0.8140974044799805,0.17190715670585632,0.41018936038017273,-0.17918074131011963,-0.1189449205994606,0.857791543006897
0.18,0.07531832158565521,-0.11896389722824097,-0.027245139703154564,-0.10592234879732132,-0.03725259751081467,0.08115086704492569,0.6680521965026855,0.3363494873046875,0.01819680817425251,-0.2339976280927658,-0.03456031531095505,0.21620714664459229,0.1376449398681689,-0.034465436636259346,-0.050677774739784846,-0.06047759792837334,-0.04124990351589925,0.10066931364398655,0.6022373205242776,0.38045056351982937,-0.30374679678362987,-0.3928443253507248,-0.0012098745287449253,0.11252378340983255,0.31063663959503174,-0.39792779088020325,-0.05449027940630913,-0.21184469759464264,-0.07450519502162933,0.16230173408985138,0.8361043930053711,0.172698974609375,0.3763936161994934,-0.12799525260925293,-0.1382412612438202,0.8648285865783691
