time,cmd_L_hip_pitch,cmd_R_hip_pitch,cmd_L_hip_roll,cmd_R_hip_roll,cmd_L_hip_yaw,cmd_R_hip_yaw,cmd_L_knee,cmd_R_knee,cmd_L_foot_pitch,cmd_R_foot_pitch,cmd_L_foot_roll,cmd_R_foot_roll,pos_L_hip_pitch,pos_R_hip_pitch,pos_L_hip_roll,pos_R_hip_roll,pos_L_hip_yaw,pos_R_hip_yaw,pos_L_knee,pos_R_knee,pos_L_foot_pitch,pos_R_foot_pitch,pos_L_foot_roll,pos_R_foot_roll,act_L_hip_pitch,act_R_hip_pitch,act_L_hip_roll,act_R_hip_roll,act_L_hip_yaw,act_R_hip_yaw,act_L_knee,act_R_knee,act_L_foot_pitch,act_R_foot_pitch,act_L_foot_roll,act_R_foot_roll
0.0,-0.027517108246684074,-0.04830656945705414,0.055135328322649,-0.13429531455039978,-0.007248913869261742,0.05238959193229675,0.4600484371185303,0.38102948665618896,-0.08222854137420654,-0.4312807321548462,0.09726020693778992,0.19422073662281036,-0.05152551451942729,0.05269115600111433,-0.004133425728606801,-0.0064725449565922084,-0.00015184316676640966,0.013231523780213889,0.28652553624814164,0.2875381958620467,-0.2722186247465018,-0.3094871261138666,0.017867313492742738,0.03782033217716383,0.10496578365564346,-0.2566131353378296,0.110270656645298,-0.26859062910079956,-0.014497827738523483,0.1047791838645935,0.42009690403938293,0.2620590031147003,0.1755429208278656,-0.5225614905357361,0.38904082775115967,0.7768829464912415
0.02,-0.016424940899014473,-0.08338207006454468,0.01836479641497135,-0.07344954460859299,0.01615067757666111,0.08710545301437378,0.5154328346252441,0.37390246987342834,0.10981781780719757,-0.38501080870628357,0.08051994442939758,0.19261284172534943,-0.007157330057243465,0.015644626914275508,-0.018433787046542117,-0.028344694916675642,-0.0003527368264340299,0.04184793289475709,0.3351303797171601,0.34158715113764115,-0.29220834273027185,-0.3679669043659189,0.04449604547352451,0.1084009913498965,0.12715011835098267,-0.32676413655281067,0.0367295928299427,-0.14689908921718597,0.03230135515332222,0.17421090602874756,0.5308657288551331,0.2478049397468567,0.5596356391906738,-0.43002161383628845,0.32207977771759033,0.7704513669013977
0.04,-0.031168943271040916,-0.09567093849182129,0.041950538754463196,-0.034855540841817856,0.004685668274760246,0.11190494894981384,0.5421085357666016,0.3196510374546051,0.19407261908054352,-0.4537176787853241,0.06332771480083466,0.1924665868282318,0.022491704271484145,-0.00011217148415586324,-0.03686877075063182,-0.05109688171456365,-0.001352698877094838,0.07634425020336821,0.38390152853097265,0.3618646773517243,-0.31618124031307265,-0.4023131924157785,0.05023089779110864,0.14624332916709623,0.09766211360692978,-0.3513418734073639,0.08390107750892639,-0.06971108168363571,0.009371336549520493,0.22380989789962769,0.5842170119285583,0.1393020749092102,0.7281452417373657,-0.5674353837966919,0.2533108592033386,0.7698663473129272
0.06,-0.003172660246491432,-0.07675983011722565,0.011984558776021004,-0.05299659073352814,-0.023289300501346588,0.11842002719640732,0.5604376792907715,0.3011527359485626,0.18706490099430084,-0.4745601415634155,0.06890667974948883,0.2040042132139206,0.03826346259677002,-0.0054642983867513725,-0.0365339411204475,-0.054287786879621845,-0.007623423551264917,0.09526585364342323,0.42953371231330395,0.3698550521372464,-0.3427978611335102,-0.4192118880576336,0.04769833131790885,0.12006638464880887,0.15365467965602875,-0.3135196566581726,0.023969117552042007,-0.10599318146705627,-0.046578601002693176,0.23684005439281464,0.6208754181861877,0.10230547934770584,0.7141298055648804,-0.6091203093528748,0.2756267189979553,0.8160168528556824
0.08,0.038185395300388336,-0.06882227957248688,-0.038799948990345,-0.05147995799779892,-0.026711847633123398,0.11633725464344025,0.5687828063964844,0.2865751385688782,0.15824268758296967,-0.5140003561973572,0.07650139182806015,0.21742261946201324,0.05423923866041767,-0.009305168396732889,-0.031124161312543416,-0.05094270243754066,-0.017766035141412697,0.10402112700089845,0.4676301622278155,0.3715998828928556,-0.3567443323169765,-0.4171232227276221,0.047238243264171795,0.10387923025720346,0.23637078702449799,-0.29764455556869507,-0.07759989798069,-0.10295991599559784,-0.053423695266246796,0.2326745092868805,0.6375656127929688,0.07315028458833694,0.656485378742218,-0.6880006790161133,0.3060055673122406,0.869690477848053
0.1,0.02940070442855358,-0.07930693030357361,-0.04241643846035004,-0.043443795293569565,-0.023384299129247665,0.11197474598884583,0.5576680898666382,0.27783557772636414,0.12429146468639374,-0.48991361260414124,0.05487571656703949,0.2093421369791031,0.06870615306056048,-0.011979018260715965,-0.031193475463607106,-0.05157262836465326,-0.021971542819272476,0.10896003057507586,0.4927438003098705,0.3667563063984202,-0.3551744279197949,-0.41277930726323464,0.046727958462022094,0.10378081913651202,0.21880140900611877,-0.31861385703086853,-0.08483287692070007,-0.08688759058713913,-0.04676859825849533,0.22394949197769165,0.6153361201286316,0.05567113682627678,0.5885829329490662,-0.6398272514343262,0.21950286626815796,0.8373685479164124
0.12,0.019869660958647728,-0.07724867761135101,-0.0384448878467083,-0.054992225021123886,-0.02349773608148098,0.11556004732847214,0.5729861855506897,0.272918701171875,0.09969462454319,-0.4607815742492676,0.03357838839292526,0.20539270341396332,0.07677887335231327,-0.011940150290583214,-0.03342464195428383,-0.054133282101595785,-0.02222869355141074,0.11329729163118323,0.5043540654784693,0.3577838452332243,-0.3465781040225471,-0.40730811123415467,0.04253244889058363,0.10659970424723328,0.19973932206630707,-0.31449735164642334,-0.0768897756934166,-0.10998445004224777,-0.04699547216296196,0.23112009465694427,0.6459723711013794,0.0458374060690403,0.5393892526626587,-0.5815631747245789,0.13431355357170105,0.8215708136558533
0.14,0.018586738035082817,-0.06336943805217743,-0.03312018886208534,-0.0746508464217186,-0.022672714665532112,0.12117043882608414,0.5979146361351013,0.26702603697776794,0.08644910156726837,-0.4266115725040436,0.016143865883350372,0.2066759318113327,0.08066309338489647,-0.007941090982198301,-0.03637161901604793,-0.0572990979342039,-0.022319714132754683,0.11706833148550044,0.5132296397852839,0.34728957493198936,-0.33698062587959265,-0.40188326047214074,0.03444234681443197,0.10837166330129423,0.19717347621917725,-0.28673887252807617,-0.06624037772417068,-0.1493016928434372,-0.045345429331064224,0.24234087765216827,0.6958292722702026,0.03405209258198738,0.5128982067108154,-0.5132231712341309,0.06457546353340149,0.8267037272453308
0.16,0.027013270184397697,-0.05190558731555939,-0.03074025921523571,-0.0945625901222229,-0.01615997590124607,0.12373446673154831,0.6146401166915894,0.25844457745552063,0.06794324517250061,-0.3948746621608734,0.005007833242416382,0.21099312603473663,0.08388901643480227,-0.0002949572936077682,-0.03929703438449582,-0.06047385169729455,-0.021967454625558217,0.11973965958697651,0.5267425248760939,0.3356624277877737,-0.32894392637841274,-0.39649128659200855,0.026098320774503518,0.1085613820261617,0.214026540517807,-0.2638111710548401,-0.06148051843047142,-0.1891251802444458,-0.03231995180249214,0.24746893346309662,0.7292802333831787,0.01688915491104126,0.4758864939212799,-0.44974932074546814,0.020031332969665527,0.8439725041389465
0.18,0.03756014257669449,-0.03697548061609268,-0.032070402055978775,-0.11376237869262695,-0.007061104755848646,0.12413715571165085,0.6315388083457947,0.2508707046508789,0.043220147490501404,-0.3552626371383667,-0.001979747088626027,0.21520423889160156,0.08859609196960092,0.008736460930630586,-0.041851176543927456,-0.0635082933164705,-0.018481733677476207,0.12183130354163704,0.5448473582713094,0.3227207987680756,-0.3222453788168017,-0.3908698949281678,0.021434445755212445,0.10856203572322216,0.2351202815771103,-0.23395095765590668,-0.06414080411195755,-0.2275247573852539,-0.014122209511697292,0.2482743114233017,0.7630776166915894,0.0017414347967132926,0.4264402985572815,-0.3705253005027771,-0.007918988354504108,0.8608169555664062
